  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 1, 2, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 9,10,10,10,10,10,12, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0,
, 9,10,10,10,10,10,10,10,10,10,10,11, 0, 0, 0, 0, 0,
, 9,10,10,10,10,10,10,10,10,10,10,11, 0, 0, 0, 0, 0,
, 9,10,10,10,10,10,10,10,10,10,10,11, 0, 0, 0, 0, 0,
, 9,10,10,10,10,10,10,10,10,10,10,11, 0, 0, 0, 0, 0,
,17,18,18,18,18,18,18, 5,10,10,10,11, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0,17, 5,10,10,11, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0,17,18,18,19, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
